_id,商店名称,价格,商品链接,购买人数,商品,城市
5d391ca9c987ddf6abd30ef7,苇玖诚运动专营店,99.00,https:////detail.tmall.com/item.htm?id=586997564837&ns=1&abbucket=6,1100人付款,李宁篮球比赛套装男士2019新款篮球系列篮球服针织运动服AATP001,河南 洛阳
5d391ca9c987ddf6abd30ef8,亿尔恩志运动旗舰店,118.00,https:////detail.tmall.com/item.htm?id=567086162856&ns=1&abbucket=6,508人付款,亿尔恩志 篮球服套装男定制背心训练服篮球衣篮球男学生2019新款,湖南 株洲
5d391ca9c987ddf6abd30ef9,eu运动旗舰店,68.00,https:////detail.tmall.com/item.htm?id=592200498678&ns=1&abbucket=6,1410人付款,双面篮球服套装男定制球衣女学生比赛服运动背心训练队服儿童球服,福建 福州
5d391ca9c987ddf6abd30efa,赛高旗舰店,55.00,https:////detail.tmall.com/item.htm?id=578225674840&ns=1&abbucket=6,1888人付款,赛高双面篮球服套装男定制学生比赛服儿童训练篮球衣运动队服背心,广东 广州
5d391caac987ddf6abd30efb,并力运动旗舰店,45.00,https:////detail.tmall.com/item.htm?id=596567378688&ns=1&abbucket=6,2196人付款,并力球衣篮球服套装男大学生比赛球服篮球男套装定制印字队服背心,广东 广州
5d391caac987ddf6abd30efc,后舍男生运动旗舰店,45.00,https:////detail.tmall.com/item.htm?id=588991339108&ns=1&abbucket=6,5000+人付款,篮球服套装男大学生夏季比赛服定制篮球服训练队服印号球衣背心,广东 深圳
5d391caac987ddf6abd30efd,后舍男生运动旗舰店,59.00,https:////detail.tmall.com/item.htm?id=526908623802&ns=1&abbucket=6,403人付款,篮球服女套装 女学生篮球衣定制篮球队服训练服背心女子蓝球服,广东 深圳
5d391caac987ddf6abd30efe,let立腾旗舰店,98.00,https:////detail.tmall.com/item.htm?id=588568909203&ns=1&abbucket=6,659人付款,双面篮球服套装男定制大学生篮球训练服比赛队服印字两面穿篮球衣,湖南 株洲
5d391caac987ddf6abd30eff,彪冠旗舰店,39.00,https:////detail.tmall.com/item.htm?id=554283943081&ns=1&abbucket=6,3196人付款,篮球服套装男夏季大学生短袖球衣球服篮球男套装定制印字队服背心,广东 广州
5d391cabc987ddf6abd30f00,橙火旗舰店,59.00,https:////detail.tmall.com/item.htm?id=528499861389&ns=1&abbucket=6,3328人付款,中大童儿童篮球服套装男孩中小学生队服男童女童夏季训练球衣定制,广东 广州
5d391cabc987ddf6abd30f01,运动羊旗舰店,98.00,https:////detail.tmall.com/item.htm?id=588780313758&ns=1&abbucket=6,374人付款,篮球服套装男定制 学生比赛训练队服儿童球服球衣篮球男套装背心,广东 广州
5d391cabc987ddf6abd30f02,准者运动旗舰店,89.00,https:////detail.tmall.com/item.htm?id=541209292187&ns=1&abbucket=6,827人付款,准者篮球服 套装男士定制队服比赛训练球衣透气大学生运动diy印制,福建 厦门
5d391cabc987ddf6abd30f03,取步旗舰店,58.00,https:////detail.tmall.com/item.htm?id=565726025685&ns=1&abbucket=6,1049人付款,儿童篮球服套装小学生训练服女童男童幼儿园表演紧身衣四件套球衣,广东 广州
5d391cacc987ddf6abd30f04,格丽世家旗舰店,38.00,https:////detail.tmall.com/item.htm?id=571582163543&ns=1&abbucket=6,4566人付款,篮球服套装男定制蓝球服青少年夏季球服男生透气背心篮球衣服印字,广东 广州
